Vial ID,Age,Treatment,Strain,Sex
43,77,1.0x,FS14,F
76,70,1.0x,FS14,F
21,28,0.5x,FS14,F
34,7,3.0x,FS14,M
41,35,3.0x,FS14,F
43,84,1.0x,FS14,F
52,35,3.0x,FS14,M
74,28,0.5x,FS14,M
76,91,1.0x,FS14,F
97,35,1.0x,FS14,M
99,21,0.5x,FS14,M
13,21,0.5x,FS14,M
21,63,0.5x,FS14,F
34,7,3.0x,FS14,M
41,35,3.0x,FS14,F
43,84,1.0x,FS14,F
52,35,3.0x,FS14,M
61,42,3.0x,FS14,F
64,42,0.5x,FS14,M
74,35,0.5x,FS14,M
76,91,1.0x,FS14,F
92,49,0.5x,FS14,F
97,35,1.0x,FS14,M
99,21,0.5x,FS14,M
13,28,0.5x,FS14,M
21,91,0.5x,FS14,F
34,7,3.0x,FS14,M
41,42,3.0x,FS14,F
43,84,1.0x,FS14,F
45,14,1.0x,FS14,F
52,35,3.0x,FS14,M
61,42,3.0x,FS14,F
64,49,0.5x,FS14,M
74,49,0.5x,FS14,M
76,91,1.0x,FS14,F
92,49,0.5x,FS14,F
97,63,1.0x,FS14,M
99,21,0.5x,FS14,M
12,49,1.0x,FS14,M
13,28,0.5x,FS14,M
16,28,0.5x,FS14,F
19,77,3.0x,FS14,F
21,105,0.5x,FS14,F
32,63,0.5x,FS14,F
34,84,3.0x,FS14,M
35,70,1.0x,FS14,M
41,42,3.0x,FS14,F
43,84,1.0x,FS14,F
45,91,1.0x,FS14,F
46,77,1.0x,FS14,F
50,77,1.0x,FS14,F
52,70,3.0x,FS14,M
61,42,3.0x,FS14,F
64,49,0.5x,FS14,M
74,49,0.5x,FS14,M
76,91,1.0x,FS14,F
79,35,1.0x,FS14,M
83,49,0.5x,FS14,M
87,35,1.0x,FS14,M
92,49,0.5x,FS14,F
93,49,3.0x,FS14,M
97,70,1.0x,FS14,M
98,49,3.0x,FS14,M
99,28,0.5x,FS14,M
100,7,0.5x,FS14,F
12,49,1.0x,FS14,M
16,35,0.5x,FS14,F
19,91,3.0x,FS14,F
32,63,0.5x,FS14,F
35,70,1.0x,FS14,M
46,77,1.0x,FS14,F
50,77,1.0x,FS14,F
79,70,1.0x,FS14,M
83,49,0.5x,FS14,M
87,35,1.0x,FS14,M
98,63,3.0x,FS14,M
100,35,0.5x,FS14,F
12,49,1.0x,FS14,M
16,42,0.5x,FS14,F
32,63,0.5x,FS14,F
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
79,70,1.0x,FS14,M
83,49,0.5x,FS14,M
87,63,1.0x,FS14,M
98,70,3.0x,FS14,M
100,35,0.5x,FS14,F
12,49,1.0x,FS14,M
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
79,70,1.0x,FS14,M
87,84,1.0x,FS14,M
100,35,0.5x,FS14,F
46,84,1.0x,FS14,F
50,77,1.0x,FS14,F
100,63,0.5x,FS14,F
100,77,0.5x,FS14,F
43,77,1.0x,FS14,F
43,77,1.0x,FS14,F
18,7,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
82,7,1.0x,MV2-25,F
3,7,0.5x,MV2-25,F
18,35,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
57,77,1.0x,MV2-25,F
72,98,0.5x,MV2-25,F
78,7,1.0x,MV2-25,F
82,77,1.0x,MV2-25,F
3,63,0.5x,MV2-25,F
18,49,3.0x,MV2-25,F
25,7,3.0x,MV2-25,F
31,7,0.5x,MV2-25,F
57,77,1.0x,MV2-25,F
72,98,0.5x,MV2-25,F
78,14,1.0x,MV2-25,F
